GEO_ID,Seniors,Under_18,Medicare,Medicaid,High_Income,Low_Income
0,1899,1518,561,253,699,1346
1,1380,1900,1340,735,1156,535
2,1383,1933,1692,143,507,1351
3,2184,753,1555,369,518,718
4,1660,1280,1773,230,1402,733
5,1103,1431,393,294,1228,578
6,1466,780,291,634,1290,1154
7,3239,614,423,645,991,612
8,4469,623,1793,635,762,1390
9,3701,662,989,60,871,1385
10,2227,932,114,200,635,1364
11,3209,599,502,616,824,739
12,2571,1644,1774,675,500,1070
13,3667,1956,1838,560,1208,1242
14,2399,558,827,703,1325,838
15,3203,1493,1780,390,1118,1428
16,3690,1918,1294,714,1401,1126
17,4378,1393,1358,543,1102,803
18,3798,863,1121,592,1032,1100
19,2133,1120,1993,358,822,883
20,1040,903,792,599,1402,1039
21,4538,1743,329,698,1376,640
22,2049,1973,1610,643,1432,575
23,2555,877,1135,232,786,1346
24,3128,1014,469,133,500,802
25,3826,1624,1319,735,1471,1352
26,1963,1392,1127,123,924,1056
27,3132,1583,329,118,1365,1381
28,1387,1721,1445,591,1446,656
29,3559,1041,1733,404,694,528
30,4474,517,338,439,1121,941
31,3431,555,1413,244,560,939
32,1297,1857,1089,516,1301,1072
33,2051,1098,1804,184,1299,811
34,4004,923,1448,601,1152,641
35,1847,1874,1776,105,1494,1231
36,3735,1417,1876,118,1175,846
37,3354,1513,1998,653,1093,627
38,3329,1383,1644,641,1312,1144
39,1071,1430,1574,717,978,684
40,1627,577,453,179,1414,656
41,2132,891,1694,378,1362,1418
42,1067,1559,1389,464,1257,1115
43,4242,1086,1249,761,841,819
44,4918,1054,1745,317,691,1400
45,3520,1005,987,738,1168,1498
46,4841,1306,112,531,1389,556
47,4179,948,854,123,949,1337
48,4782,1489,1105,558,1382,1392
49,2596,797,1245,136,1408,1421
50,3753,1504,576,104,1407,528
51,4245,996,616,761,646,1196
52,2595,1599,1639,191,815,680
53,1253,851,155,182,1273,1006
54,4045,553,242,591,1227,841
55,2876,1589,825,626,1442,748
56,4931,1876,1446,493,1277,697
57,2097,904,700,187,1011,1138
58,3152,1595,591,666,1138,1333
59,3882,583,1753,163,1155,674
60,1386,815,816,85,1206,1031
61,1211,1100,374,274,723,528
62,1666,1751,128,515,1439,1253
63,4649,1933,1732,775,1435,966
64,2958,957,514,225,898,575
65,4382,794,210,219,513,957
66,4018,1971,1235,369,1281,1395
67,2133,1138,845,235,1193,1141
68,4127,1615,1009,184,1288,775
69,1656,1727,1300,660,939,1042
70,2003,1855,1070,221,532,940
71,1571,1537,1238,53,1203,1403
72,1780,1904,399,246,657,894
73,2553,1027,209,318,860,855
74,4454,738,693,148,1147,778
75,4345,933,756,254,598,890
76,3722,1854,191,515,1035,1074
77,1152,1158,1950,652,822,948
78,3690,876,278,194,1416,998
79,4802,789,548,551,1377,1487
80,4220,1022,1587,227,1060,1446
81,2201,1949,1561,167,504,641
82,2061,1098,628,204,1312,1361
83,3849,1154,1384,62,1183,730
84,4261,1766,380,560,1088,1008
85,2452,978,524,782,1015,1393
86,3453,1462,1290,87,639,1276
87,2322,1358,1918,478,1237,639
88,3814,1935,1231,534,969,1368
89,4689,1484,1871,505,1022,1139
90,1733,1590,1888,187,1378,935
91,2967,1765,1750,293,864,512
92,4598,993,152,757,1360,674
93,4435,1046,827,725,1433,730
94,3671,988,220,75,546,1408
95,4905,920,1339,782,1406,510
96,3109,1055,182,663,1256,1089
97,2269,694,1544,155,946,780
98,3169,913,1630,446,531,680
99,1593,1550,1035,545,1173,1007
100,3902,1307,168,589,1102,550
101,3503,1645,1238,697,784,919
102,4794,1651,373,632,1391,1470
103,1707,1974,1816,181,1110,1405
104,4642,1622,1504,733,1067,1365
105,4323,1703,1229,176,702,1355
106,3516,1674,159,455,776,945
107,1966,1555,1866,68,1174,670
108,2530,1066,163,142,1334,1101
109,1527,516,334,789,1496,713
110,2030,1608,865,240,1267,659
111,4118,1595,1376,518,1440,828
112,1252,1456,825,400,1298,1309
113,1369,1656,812,185,1061,514
114,2908,1837,489,364,699,762
115,1900,1562,521,472,522,1155
116,4834,660,1517,290,949,1114
117,3393,1807,1652,345,1378,1413
118,3516,1329,285,211,534,1308
119,2804,1171,931,679,755,1055
120,2798,1466,502,658,507,776
121,3614,1084,1763,217,1304,1302
122,4219,697,1490,599,1168,972
123,3456,925,208,74,803,715
124,1034,1324,731,485,764,866
125,2147,750,332,380,1149,642
126,1872,959,1235,503,1209,1292
127,4756,1395,476,321,1017,961
128,2681,1180,888,627,769,1392
129,3936,864,239,668,1222,1374
130,3075,718,1779,268,1144,738
131,3358,1905,718,216,995,533
132,3110,1368,793,547,656,758
133,3056,990,1772,583,1008,794
134,3286,1067,1034,574,1494,641
135,1677,1381,1208,680,1319,687
136,4568,704,1084,463,635,1070
137,2379,1128,1999,182,1099,821
138,1961,1705,1076,456,985,1259
139,2131,1498,574,434,1224,901
140,1033,887,335,378,666,739
141,2433,810,1608,361,1247,940
142,2509,1241,667,627,922,518
143,4503,694,215,674,1142,1123
144,1740,1808,778,631,855,636
145,3966,1725,572,356,882,589
146,2761,556,1066,541,569,1373
147,2792,1207,1184,718,1304,1221
148,3525,1867,1274,410,1257,665
149,3694,1669,1334,626,1266,1069
150,4881,895,1502,766,587,1445
151,4682,1219,409,577,626,780
152,3759,800,432,459,1119,1226
153,2675,1482,943,204,1370,1010
154,4897,510,378,349,1334,580
155,2371,653,586,133,671,694
156,1833,606,1372,363,1153,610
157,4274,841,519,747,1063,1173
158,4836,724,1143,795,1137,1463
159,3343,1972,529,375,755,977
160,3391,998,528,404,520,1256
161,1558,1228,1979,320,1001,1072
162,1485,963,1511,264,1291,886
163,3902,1105,888,611,1447,1031
164,2446,875,277,153,1469,604
165,2120,603,241,56,1238,572
166,2413,1276,1434,485,1081,530
167,4233,1866,1354,759,907,1342
168,3349,970,1024,214,1071,1160
169,1898,1316,1963,226,1156,542
170,4459,1775,1551,484,1192,869
171,4377,1487,1228,584,1191,1196
172,3353,1676,813,666,914,822
173,2188,1707,1507,588,1162,773
174,1191,544,1391,261,1470,509
175,2329,795,1242,116,1107,566
176,1425,1022,1492,153,1334,892
177,3395,1770,313,238,829,1074
178,3013,1757,710,450,1261,546
179,2553,772,154,771,1362,517
180,2126,1068,1981,296,1002,821
181,1072,1833,1555,425,997,1378
182,2411,1066,1893,454,589,535
183,1412,1602,964,167,889,1355
184,2102,686,1228,183,800,888
185,1184,1246,1385,462,676,1008
186,4233,1585,499,359,878,920
187,3193,781,695,236,1407,1160
188,1940,869,1564,701,1215,1030
189,1608,1580,629,365,909,1169
190,3227,1016,584,408,1298,525
191,2713,1974,608,553,511,744
192,3884,1924,1053,540,1135,1403
193,3773,1995,1266,128,1386,1319
194,3430,832,1339,501,1367,761
195,1655,1017,1346,373,842,1062
196,4104,1865,1710,387,1278,1444
197,2020,1847,1179,230,785,1225
198,2778,1444,924,77,1496,828
199,1469,968,427,694,1484,896
200,1682,1008,1983,421,827,1242
201,4922,795,1286,193,1367,944
202,1056,1436,753,127,535,1293
203,1444,919,707,386,1375,770
204,4457,1283,423,647,720,626
205,1499,1677,1695,261,619,917
206,4076,1131,1796,141,1313,1470
207,3154,556,641,157,748,1194
208,4585,1107,1900,389,835,1138
209,3100,1201,1451,321,777,1004
